State,Year,Population,Violent,Murder,Rape,Robbery,assault,Vandalism,Burglary,Larceny,GTA,Rate,Deaths,Laws,ID
AK,2017,739795,6133,62,863,951,4257,26204,4171,17775,4258,24.5,180,3,2
AL,2017,4874747,25551,404,2028,4217,18902,144160,31477,99842,12841,22.9,1124,10,1
AR,2017,3004279,16671,258,2053,1935,12425,92489,21862,63374,7253,20.3,613,11,5
AZ,2017,7016270,35644,416,3581,7440,24207,204515,37627,147830,19058,15.8,1134,8,4
CA,2017,39536653,177627,1830,14721,56622,104454,987114,176690,642033,168391,7.9,3184,106,6
CO,2017,5607154,20638,221,3858,3838,12721,151483,22813,106809,21861,13.4,779,30,8
CT,2017,3588184,8180,102,837,2813,4428,63509,8890,47310,7309,5.1,188,92,9
DE,2017,961939,4361,54,334,1082,2891,23477,3970,18138,1369,11.7,111,40,10
FL,2017,20984400,85625,1057,7940,18597,58031,527220,88853,395453,42914,12.4,2724,21,12
GA,2017,10429379,37258,703,2718,10044,23793,298298,55374,216661,26263,15.4,1623,6,13
HI,2017,1427538,3577,39,567,1077,1894,40392,5549,29574,5269,2.5,39,81,15
IA,2017,3145711,9230,104,1234,1253,6639,66855,15078,46198,5579,9,293,24,19
ID,2017,1716943,3888,32,707,196,2953,28079,5655,20278,2146,16.4,280,2,16
IL,2017,12802023,56180,997,5556,17567,32060,257497,43459,193157,20881,12.1,1543,65,17
IN,2017,6666818,26598,397,2625,6600,16976,161132,30140,115591,15401,15.3,1016,12,18
KS,2017,2913123,12030,160,1627,1785,8458,81593,13931,59816,7846,16,466,4,20
KY,2017,4454189,10056,263,1661,2958,5174,94833,20195,64394,10244,16.2,730,7,21
LA,2017,4684333,26092,582,1867,5358,18285,157712,34265,112485,10962,21.7,1008,13,22
MA,2017,6859819,24560,173,2197,4871,17319,98575,17089,73946,7540,3.7,262,101,25
MD,2017,6052177,30273,546,1691,11200,16836,134496,23508,97420,13568,12.3,742,66,24
ME,2017,1335907,1617,23,473,249,872,20133,3334,16006,793,11.7,172,11,23
MI,2017,9962311,44826,569,7031,6488,30738,179318,35641,124104,19573,11.3,1138,21,26
MN,2017,5576606,13291,113,2385,3621,7172,122212,18787,93446,9979,8.2,465,41,27
MO,2017,6113532,32420,600,2729,6351,22740,173253,30081,123251,19921,21.5,1307,2,29
MS,2017,2984100,8526,245,1091,2071,5119,81581,24710,52240,4631,21.5,632,2,28
MT,2017,1050493,3961,41,613,295,3012,27225,3615,21018,2592,22.5,244,4,30
NC,2017,10273419,37364,591,2715,9350,24708,261486,64786,180902,15798,13.7,1430,30,37
ND,2017,755393,2125,10,399,183,1533,16602,2942,11887,1773,13.2,103,10,38
NE,2017,1920076,5873,43,1191,968,3671,43663,6472,31988,5203,8.3,160,22,31
NH,2017,1342795,2668,14,663,419,1572,18555,2574,15066,915,10.4,146,9,33
NJ,2017,9005644,20604,324,1505,7895,10880,140086,23891,104025,12170,5.3,478,75,34
NM,2017,2088070,16359,148,1259,3722,11230,82306,17917,52617,11772,18.5,394,10,35
NV,2017,2998039,16667,274,1890,4841,9662,78322,20049,45461,12812,16.7,508,21,32
NY,2017,19849399,70799,548,6324,20108,43819,300555,35002,252143,13410,3.7,772,75,36
OH,2017,11658609,34683,710,5859,11605,16509,282034,58573,203208,20253,13.7,1589,16,39
OK,2017,3930864,17934,242,2142,3000,12550,113066,28608,72207,12251,17.2,681,9,40
